V_SD,I_SD,RLS1,RLS2,DOE
0,0,0.004778977,0.000404871,7.95E-05
0,1.00E-06,0.015912261,0.001368154,0.000313592
0,1.00E-05,0.008841331,0.004444956,0.001168325
0,0.0001,0.069572946,0.057197698,0.013746634
0,0.001,0.924220786,0.730452161,0.121312689
1.00E-06,0,0.052723314,0.020051781,0.00540188
1.00E-06,1.00E-06,0.037750105,0.007343508,0.005389802
1.00E-06,1.00E-05,0.026435346,0.012882521,0.006816684
1.00E-06,0.0001,0.086742413,0.053013052,0.036527801
1.00E-06,0.001,0.749544051,0.530551987,0.262867711
1.00E-05,0,0.218038837,0.244505086,0.056601007
1.00E-05,1.00E-06,0.402405368,0.185088734,0.0709984
1.00E-05,1.00E-05,0.097587481,0.092620483,0.055478227
1.00E-05,0.0001,0.252430791,0.161418444,0.079947944
1.00E-05,0.001,0.641252902,0.291779203,0.136442722
0.0001,0,1.265023888,0.624881943,0.307310429
0.0001,1.00E-06,1.895154034,1.075951358,0.252294726
0.0001,1.00E-05,1.891122842,1.560247517,0.324598666
0.0001,0.0001,3.416151879,1.180482819,0.429091059
0.0001,0.001,1.391020425,1.00758371,0.475930432
0.001,0,32.4409968,32.03630757,3.328589639
0.001,1.00E-06,32.18465268,30.74909835,4.850059073
0.001,1.00E-05,35.69761518,32.37066762,5.286470852
0.001,0.0001,26.85901752,29.63555143,3.342380377
0.001,0.001,32.17096432,24.61132287,3.904785054
